Date,Close,Adjusted,Open,High,Low
05-01-15,47.8,8.48,48,48.2,47.6
06-01-15,48.1,8.53,47.5,48.1,47.3
07-01-15,48.4,8.59,48.1,49.1,48.1
08-01-15,47.9,8.5,48.3,48.4,47.8
09-01-15,48.3,8.57,47.9,48.5,47.9
12-01-15,48.6,8.62,48.3,49.2,48.3
13-01-15,48.7,8.64,48.4,48.8,48.4
14-01-15,48.6,8.62,48.7,48.9,48.2
15-01-15,48.7,8.64,48.8,48.8,48.4
16-01-15,48.5,8.6,48.8,48.8,48.4
19-01-15,48,8.52,48.5,48.5,48
20-01-15,48,8.52,48,48.2,47.9
21-01-15,48.4,8.59,48.2,48.8,48.2
22-01-15,48.2,8.55,48.6,48.6,48.2
23-01-15,48.4,8.59,48.4,48.7,48.2
26-01-15,48.4,8.59,48.4,48.7,48.4
27-01-15,48,8.52,48.3,48.6,48
28-01-15,47.9,8.5,47.9,48.3,47.8
29-01-15,47.9,8.5,47.9,48,47.8
30-01-15,47.5,8.43,48,48.1,47.5
02-02-15,47.4,8.41,47.6,47.8,47.3
03-02-15,47,8.34,47.4,47.5,47
04-02-15,46.9,8.32,47.4,47.4,46.7
05-02-15,47.2,8.37,47,47.5,46.9
06-02-15,47.3,8.39,47.5,47.5,47.2
09-02-15,47.2,8.37,47.7,47.7,47.2
10-02-15,47.1,8.36,47.2,47.3,47
11-02-15,47.5,8.43,47.3,47.5,47.2
12-02-15,47.8,8.48,47.9,48.2,47.8
13-02-15,48,8.52,48,48.2,47.8
24-02-15,48.6,8.62,48.2,48.8,48.2
25-02-15,48.5,8.6,48.8,49,48.4
26-02-15,49,8.69,48.4,49,48.4
27-02-15,48.8,8.66,49.1,49.3,48.7
02-03-15,48.5,8.6,49,49,48.4
03-03-15,48.9,8.68,49,48.9,48.6
04-03-15,50,8.87,49.2,50.5,49.2
05-03-15,50,8.87,50.5,51,50
06-03-15,50,8.87,50,50.5,49.9
09-03-15,49.2,8.73,49.9,50,49.2
10-03-15,49.7,8.82,49.5,49.7,49.3
11-03-15,49.5,8.78,49.7,49.7,49.4
12-03-15,49.2,8.73,49.5,49.5,49.1
13-03-15,49.2,8.73,49.5,49.7,49.1
16-03-15,49.4,8.76,49.2,49.4,49.2
17-03-15,50,8.87,49.5,50.5,49.5
18-03-15,49.6,8.8,50,50,49.6
19-03-15,49.5,8.78,50,50,49.5
20-03-15,49.8,8.83,49.9,49.9,49.4
23-03-15,49.4,8.76,49.5,49.9,49.4
24-03-15,49.1,8.71,49.5,49.5,48.8
25-03-15,49.2,8.73,49.5,49.5,49
26-03-15,49.3,8.75,49.4,49.4,49.2
27-03-15,49.2,8.73,49.6,49.6,49.2
30-03-15,48.4,8.59,49.4,49.4,48.4
31-03-15,48.4,8.59,48.4,48.7,48.4
01-04-15,47.7,8.46,48.4,48.7,47.7
02-04-15,48.1,8.53,47.8,48.5,47.7
03-04-15,48.8,8.66,48.5,48.8,48.1
06-04-15,48.5,8.6,48.8,49.1,48.5
07-04-15,48.9,8.68,48.4,49,48.4
08-04-15,48.9,8.68,49,49.1,48.8
09-04-15,48.9,8.68,48.9,49,48.5
10-04-15,49.2,8.73,48.9,49.4,48.8
13-04-15,49.2,8.73,49.2,49.4,49.1
14-04-15,48.7,8.64,49.2,49.2,48.7
15-04-15,48.9,8.68,48.9,49,48.5
16-04-15,48.8,8.66,48.9,49.2,48.7
17-04-15,51,9.05,48.9,51.5,48.9
20-04-15,50.5,8.96,51,51,49.9
21-04-15,50,8.87,50.5,51,50
22-04-15,50,8.87,50,51,50
23-04-15,50.5,8.96,50.5,51,49.8
24-04-15,50.5,8.96,50.5,51,50
27-04-15,51.5,9.14,51.5,52.5,51
04-05-15,49.4,8.76,51.5,52,49
05-05-15,50,8.87,49.4,50.5,49.2
06-05-15,49.6,8.8,50,50.5,49.6
07-05-15,49.9,8.85,49.8,50.5,49.6
08-05-15,49.9,8.85,49.9,50.5,49.9
11-05-15,49.7,8.82,50,50,49.6
12-05-15,49.2,8.73,49.7,49.7,49.2
13-05-15,49.2,8.73,49.2,49.3,48.7
14-05-15,49.3,8.75,49,49.6,49
15-05-15,49.1,8.71,49.4,49.6,49.1
18-05-15,48.8,8.66,49,49.2,48.8
19-05-15,49.2,8.73,48.7,49.2,48.7
20-05-15,51,9.05,49.6,51,49.5
21-05-15,52.5,9.31,51,53,50.5
22-05-15,52,9.23,52.5,53,52
25-05-15,54,9.58,52,54,52
26-05-15,53,9.4,53.5,54,53
27-05-15,52.5,9.31,53,53.5,52
28-05-15,45.4,9.44,45.5,45.9,45.1
29-05-15,45,9.36,45.5,45.5,44.9
01-06-15,44.3,9.21,44.9,44.9,44.3
02-06-15,43.7,9.09,44.3,44.3,43.7
03-06-15,44.2,9.19,43.7,44.8,43.6
04-06-15,44.4,9.23,44.2,44.5,44.2
05-06-15,44.8,9.32,44.5,44.9,44.2
08-06-15,44.3,9.21,45,45.1,44.3
09-06-15,44.3,9.21,44.2,45.2,44.2
10-06-15,44.6,9.28,44.3,44.7,44.1
11-06-15,44.8,9.32,44.6,44.9,44.6
12-06-15,45.1,9.38,44.9,45.3,44.9
15-06-15,45,9.36,45.4,45.4,44.8
16-06-15,44.5,9.26,45,45.2,44.5
17-06-15,44.4,9.23,44.4,44.6,44.3
18-06-15,44.5,9.26,44.4,45,44.4
19-06-15,44.8,9.32,44.5,45.1,44.5
22-06-15,45.6,9.48,45,45.8,44.9
23-06-15,45.5,9.46,45.6,45.7,45.4
24-06-15,45.2,9.4,45.6,45.6,45.2
25-06-15,45,9.36,45.1,45.2,45
26-06-15,46.3,9.63,45.1,47.9,45.1
29-06-15,46.8,9.73,46.8,47.7,46.5
30-06-15,46.4,9.65,46.3,46.7,46.3
01-07-15,46.8,9.73,46.4,47.1,46.1
02-07-15,47.2,9.82,46.7,47.4,46.6
03-07-15,47,9.78,47.4,47.4,46.9
06-07-15,47.5,9.88,47.1,47.5,47
